,Raw,Package,Details
0,"acpid/focal,now 1:2.0.32-1ubuntu1 amd64 [installed]",acpid,"focal,now 1:2.0.32-1ubuntu1 amd64 [installed]"
1,"aeskeyfind/focal,now 1:1.0-7 amd64 [installed]",aeskeyfind,"focal,now 1:1.0-7 amd64 [installed]"
2,"afflib-tools/focal,now 3.7.18-3 amd64 [installed]",afflib-tools,"focal,now 3.7.18-3 amd64 [installed]"
3,"aircrack-ng/focal,now 1:1.6-4 amd64 [installed]",aircrack-ng,"focal,now 1:1.6-4 amd64 [installed]"
4,"amd64-microcode/focal,now 3.20191218.1ubuntu1 amd64 [installed]",amd64-microcode,"focal,now 3.20191218.1ubuntu1 amd64 [installed]"
5,"apache2/focal-updates,focal-security,now 2.4.41-4ubuntu3.14 amd64 [installed]",apache2,"focal-updates,focal-security,now 2.4.41-4ubuntu3.14 amd64 [installed]"
6,"arp-scan/focal,now 1.9.7-1 amd64 [installed]",arp-scan,"focal,now 1.9.7-1 amd64 [installed]"
7,"autopsy/focal,now 2.24-3 all [installed]",autopsy,"focal,now 2.24-3 all [installed]"
8,"avfs/focal,now 1.1.1-1 amd64 [installed]",avfs,"focal,now 1.1.1-1 amd64 [installed]"
9,"base-files/focal-updates,now 11ubuntu5.7 amd64 [installed]",base-files,"focal-updates,now 11ubuntu5.7 amd64 [installed]"
10,"base-passwd/focal,now 3.5.47 amd64 [installed]",base-passwd,"focal,now 3.5.47 amd64 [installed]"
11,"bash/focal-updates,focal-security,now 5.0-6ubuntu1.2 amd64 [installed]",bash,"focal-updates,focal-security,now 5.0-6ubuntu1.2 amd64 [installed]"
12,"bless/focal,now 0.6.0-7 all [installed]",bless,"focal,now 0.6.0-7 all [installed]"
13,"blt/focal,now 2.5.3+dfsg-4 amd64 [installed]",blt,"focal,now 2.5.3+dfsg-4 amd64 [installed]"
14,"bulk-extractor/focal,now 1.5.3+3-1sift1~focal amd64 [installed]",bulk-extractor,"focal,now 1.5.3+3-1sift1~focal amd64 [installed]"
15,"cabextract/focal,now 1.9-3 amd64 [installed]",cabextract,"focal,now 1.9-3 amd64 [installed]"
16,"ccrypt/focal,now 1.11-1 amd64 [installed]",ccrypt,"focal,now 1.11-1 amd64 [installed]"
17,"chromium-browser/focal-updates,now 1:85.0.4183.83-0ubuntu0.20.04.3 amd64 [installed]",chromium-browser,"focal-updates,now 1:85.0.4183.83-0ubuntu0.20.04.3 amd64 [installed]"
18,"cifs-utils/focal-updates,focal-security,now 2:6.9-1ubuntu0.2 amd64 [installed]",cifs-utils,"focal-updates,focal-security,now 2:6.9-1ubuntu0.2 amd64 [installed]"
19,"clamav/focal-updates,focal-security,now 0.103.8+dfsg-0ubuntu0.20.04.1 amd64 [installed]",clamav,"focal-updates,focal-security,now 0.103.8+dfsg-0ubuntu0.20.04.1 amd64 [installed]"
20,"cloud-init/focal-updates,now 23.1.1-0ubuntu0~20.04.1 all [installed]",cloud-init,"focal-updates,now 23.1.1-0ubuntu0~20.04.1 all [installed]"
21,"cmospwd/focal,now 5.0+dfsg-2build1 amd64 [installed]",cmospwd,"focal,now 5.0+dfsg-2build1 amd64 [installed]"
22,"cpanminus/focal,now 1.7044-1 all [installed]",cpanminus,"focal,now 1.7044-1 all [installed]"
23,"cryptcat/focal,now 20031202-4build2 amd64 [installed]",cryptcat,"focal,now 20031202-4build2 amd64 [installed]"
24,"curl/focal-updates,focal-security,now 7.68.0-1ubuntu2.18 amd64 [installed]",curl,"focal-updates,focal-security,now 7.68.0-1ubuntu2.18 amd64 [installed]"
25,"dash/focal,now 0.5.10.2-6 amd64 [installed]",dash,"focal,now 0.5.10.2-6 amd64 [installed]"
26,"dc3dd/focal,now 7.2.646-3 amd64 [installed]",dc3dd,"focal,now 7.2.646-3 amd64 [installed]"
27,"dcfldd/focal,now 1.7-1 amd64 [installed]",dcfldd,"focal,now 1.7-1 amd64 [installed]"
28,"default-jre/focal,now 2:1.11-72 amd64 [installed]",default-jre,"focal,now 2:1.11-72 amd64 [installed]"
29,"diffutils/focal,now 1:3.7-3 amd64 [installed]",diffutils,"focal,now 1:3.7-3 amd64 [installed]"
30,"disktype/focal,now 9-9 amd64 [installed]",disktype,"focal,now 9-9 amd64 [installed]"
31,"docker-ce/focal,now 5:23.0.2-1~ubuntu.20.04~focal amd64 [installed]",docker-ce,"focal,now 5:23.0.2-1~ubuntu.20.04~focal amd64 [installed]"
32,"dpkg-dev/focal-updates,focal-security,now 1.19.7ubuntu3.2 all [installed]",dpkg-dev,"focal-updates,focal-security,now 1.19.7ubuntu3.2 all [installed]"
33,"driftnet/focal,now 1.3.0+dfsg-2 amd64 [installed]",driftnet,"focal,now 1.3.0+dfsg-2 amd64 [installed]"
34,"dsniff/focal,now 2.4b1+debian-29 amd64 [installed]",dsniff,"focal,now 2.4b1+debian-29 amd64 [installed]"
35,"e2fslibs-dev/focal-updates,focal-security,now 1.45.5-2ubuntu1.1 all [installed]",e2fslibs-dev,"focal-updates,focal-security,now 1.45.5-2ubuntu1.1 all [installed]"
36,"eatmydata/focal,now 105-7 all [installed]",eatmydata,"focal,now 105-7 all [installed]"
37,"ec2-hibinit-agent/focal-updates,now 1.0.0-0ubuntu9.2 all [installed]",ec2-hibinit-agent,"focal-updates,now 1.0.0-0ubuntu9.2 all [installed]"
38,"ec2-instance-connect/focal-updates,now 1.1.12+dfsg1-0ubuntu3.20.04.1 all [installed]",ec2-instance-connect,"focal-updates,now 1.1.12+dfsg1-0ubuntu3.20.04.1 all [installed]"
39,"ent/focal,now 1.2debian-2 amd64 [installed]",ent,"focal,now 1.2debian-2 amd64 [installed]"
40,"epic5/focal,now 2.0.1-1build6 amd64 [installed]",epic5,"focal,now 2.0.1-1build6 amd64 [installed]"
41,"etherape/focal,now 0.9.18-2 amd64 [installed]",etherape,"focal,now 0.9.18-2 amd64 [installed]"
42,"ettercap-graphical/focal,now 1:0.8.3-7 amd64 [installed]",ettercap-graphical,"focal,now 1:0.8.3-7 amd64 [installed]"
43,"exfat-fuse/focal,now 1.3.0-1 amd64 [installed]",exfat-fuse,"focal,now 1.3.0-1 amd64 [installed]"
44,"exif/focal,now 0.6.21-2 amd64 [installed]",exif,"focal,now 0.6.21-2 amd64 [installed]"
45,"extundelete/focal,now 0.2.4-2build1 amd64 [installed]",extundelete,"focal,now 0.2.4-2build1 amd64 [installed]"
46,"fdupes/focal,now 1:1.6.1-2 amd64 [installed]",fdupes,"focal,now 1:1.6.1-2 amd64 [installed]"
47,"feh/focal,now 3.3-1 amd64 [installed]",feh,"focal,now 3.3-1 amd64 [installed]"
48,"findutils/focal,now 4.7.0-1ubuntu1 amd64 [installed]",findutils,"focal,now 4.7.0-1ubuntu1 amd64 [installed]"
49,"flasm/focal,now 1.62-10 amd64 [installed]",flasm,"focal,now 1.62-10 amd64 [installed]"
50,"flex/focal,now 2.6.4-6.2 amd64 [installed]",flex,"focal,now 2.6.4-6.2 amd64 [installed]"
51,"foremost/focal,now 1.5.7-9 amd64 [installed]",foremost,"focal,now 1.5.7-9 amd64 [installed]"
52,"fuse3/focal,now 3.9.0-2 amd64 [installed]",fuse3,"focal,now 3.9.0-2 amd64 [installed]"
53,"gddrescue/focal,now 1.23-2build1 amd64 [installed]",gddrescue,"focal,now 1.23-2build1 amd64 [installed]"
54,"gdm3/focal-updates,now 3.36.3-0ubuntu0.20.04.4 amd64 [installed]",gdm3,"focal-updates,now 3.36.3-0ubuntu0.20.04.4 amd64 [installed]"
